SIMULATION 5: 30 xApps, 40 Parameters, 15 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x1,p13,162.63,411.72
x1,p7,101.49,412.55
x1,p9,98.77,142.29
x1,p8,96.33,222.95
x1,p33,117.78,247.14
x1,p40,127.2,262.8
x1,p30,77.88,243.37
x1,p2,147.45,327.58
x1,p18,172.65,309.06
x1,p26,112.64,201.13
x1,p38,172.44,408.82
x1,p34,120.6,154.04
x1,p5,169.8,491.13
x1,p11,60.33,94.68
x1,p32,228.95,423.05
x1,p29,122.41,325.85
x1,p23,78.13,370.19
x2,p22,74.66,190.25
x2,p19,72.42,349.2
x2,p4,95.24,169.87
x2,p20,277.15,390.16
x2,p31,54.0,282.11
x2,p29,136.91,306.33
x2,p30,34.08,154.6
x2,p36,165.35,569.35
x2,p33,115.56,203.0
x2,p26,59.59,194.4
x2,p14,182.27,331.3
x2,p38,220.32,266.78
x2,p10,74.3,284.12
x2,p28,67.72,88.6
x2,p35,244.44,393.49
x3,p17,111.32,350.64
x3,p25,104.15,458.34
x3,p36,317.86,373.4
x3,p28,40.99,113.33
x3,p16,158.09,261.45
x3,p20,144.3,377.65
x3,p11,43.95,67.88
x3,p37,183.37,461.75
x3,p19,95.29,488.72
x3,p3,176.05,363.21
x3,p38,123.42,405.2
x3,p7,77.43,423.23
x3,p22,64.88,227.02
x3,p1,40.91,171.65
x4,p36,271.08,532.91
x4,p29,29.06,275.85
x4,p24,127.83,344.91
x4,p27,76.1,334.42
x4,p26,89.35,212.64
x4,p11,41.39,67.1
x4,p14,132.24,263.63
x4,p25,193.32,277.24
x4,p33,118.53,239.33
x4,p31,109.0,277.01
x4,p40,94.44,242.29
x4,p30,51.52,222.51
x4,p34,102.14,137.97
x4,p6,72.82,305.36
x4,p22,71.31,260.15
x4,p2,113.67,251.61
x4,p21,139.79,379.61
x4,p4,76.45,179.15
x4,p18,23.16,334.0
x4,p17,203.54,329.31
x4,p10,110.05,350.77
x5,p2,105.7,358.99
x5,p30,30.69,154.34
x5,p36,239.02,432.97
x5,p18,64.89,297.15
x5,p4,87.43,147.8
x5,p21,202.06,359.36
x5,p38,103.21,351.48
x5,p27,190.3,254.87
x5,p39,200.64,310.67
x5,p20,109.54,359.44
x5,p3,200.37,370.27
x5,p16,128.59,183.97
x5,p9,77.76,138.38
x5,p10,139.53,316.27
x5,p12,96.92,162.26
x5,p37,88.63,330.41
x5,p24,118.79,260.91
x5,p28,50.84,104.17
x6,p8,54.95,206.32
x6,p32,216.11,284.54
x6,p14,12.22,247.82
x6,p26,143.34,277.27
x6,p22,59.61,167.49
x6,p40,108.23,254.36
x6,p28,78.8,102.44
x6,p20,102.67,344.66
x6,p4,80.68,126.54
x6,p3,244.47,376.69
x6,p24,158.31,256.72
x6,p9,83.36,131.19
x6,p5,194.68,347.66
x6,p7,218.36,390.26
x6,p13,140.39,297.3
x6,p16,169.29,182.36
x6,p29,54.6,308.25
x6,p6,137.71,242.59
x6,p19,181.83,385.76
x7,p21,197.77,385.49
x7,p35,146.71,399.05
x7,p30,27.18,184.34
x7,p4,114.77,152.05
x7,p9,96.85,127.18
x7,p10,161.84,377.91
x7,p15,132.76,347.7
x7,p29,3.47,297.59
x7,p12,114.82,148.07
x7,p36,185.13,542.34
x7,p13,153.69,350.66
x7,p17,149.27,357.06
x7,p6,150.32,273.16
x7,p8,84.53,190.41
x7,p32,258.38,435.83
x7,p22,152.27,222.41
x7,p27,173.51,311.72
x7,p28,44.21,94.7
x7,p3,116.36,363.02
x7,p25,135.83,467.02
x7,p7,45.26,370.72
x7,p39,97.27,326.02
x7,p26,46.65,169.03
x8,p10,171.16,276.21
x8,p4,101.26,149.14
x8,p35,157.51,466.14
x8,p7,80.43,365.71
x8,p14,146.68,208.27
x8,p29,128.93,289.81
x8,p21,157.67,244.96
x8,p28,75.49,113.96
x8,p31,83.85,259.71
x8,p24,108.91,374.65
x8,p16,142.79,222.57
x8,p6,98.48,182.14
x8,p13,187.64,305.84
x8,p23,125.24,333.58
x8,p22,136.78,292.58
x8,p39,108.39,400.0
x8,p17,65.42,243.29
x8,p19,24.26,302.59
x8,p12,133.16,140.72
x8,p11,37.1,91.07
x8,p20,271.16,384.61
x8,p3,86.96,449.22
x9,p4,96.46,157.79
x9,p17,159.13,301.29
x9,p2,60.55,261.82
x9,p40,80.41,222.47
x9,p31,166.46,295.28
x9,p1,149.77,168.99
x9,p9,86.29,127.4
x9,p29,72.92,320.72
x9,p13,116.75,371.36
x9,p12,133.85,154.63
x9,p25,38.42,290.96
x9,p14,10.93,236.09
x9,p16,168.68,254.44
x9,p11,60.95,91.0
x9,p6,155.52,296.03
x9,p35,139.26,385.37
x9,p24,117.81,332.59
x9,p10,213.58,387.4
x9,p34,91.79,133.7
x10,p38,156.06,280.57
x10,p8,53.65,176.57
x10,p34,108.99,152.35
x10,p20,242.86,535.0
x10,p40,112.68,238.54
x10,p5,187.64,344.52
x10,p25,160.2,463.73
x10,p24,125.85,297.11
x10,p7,205.7,254.87
x10,p39,152.28,351.33
x10,p27,21.26,328.25
x10,p35,147.58,366.3
x11,p14,113.84,214.59
x11,p25,170.84,367.18
x11,p29,145.7,185.49
x11,p33,96.25,184.02
x11,p24,69.69,250.73
x11,p5,161.5,470.72
x11,p13,132.36,245.51
x11,p21,208.62,269.07
x11,p4,74.89,174.8
x11,p27,50.35,297.14
x11,p34,90.79,150.73
x11,p1,63.64,241.43
x11,p40,57.03,198.49
x11,p23,61.46,342.51
x11,p17,137.88,225.57
x12,p29,7.57,263.21
x12,p10,65.34,230.75
x12,p21,193.34,337.34
x12,p7,69.92,451.79
x12,p27,135.51,357.97
x12,p12,112.12,156.57
x12,p34,109.46,122.9
x12,p28,70.36,117.93
x12,p6,73.18,201.25
x12,p5,284.95,376.94
x12,p16,110.84,253.61
x12,p39,98.97,380.3
x12,p15,250.55,410.62
x12,p31,133.87,276.08
x12,p11,41.42,71.9
x12,p4,101.13,173.31
x12,p40,117.29,163.16
x12,p17,33.28,348.7
x12,p23,150.94,472.61
x12,p8,77.29,162.22
x12,p9,98.8,109.56
x12,p22,27.46,270.82
x13,p17,184.18,255.01
x13,p34,116.89,140.46
x13,p4,112.6,155.48
x13,p35,218.39,489.59
x13,p3,215.94,407.75
x13,p38,192.57,258.47
x13,p7,115.2,411.91
x13,p37,41.12,421.85
x13,p20,106.82,484.4
x13,p8,113.31,215.75
x13,p36,273.49,402.27
x13,p11,35.44,63.57
x13,p39,119.96,304.42
x13,p2,157.77,308.39
x13,p10,215.29,266.1
x14,p11,25.14,101.1
x14,p19,34.99,397.1
x14,p34,105.36,138.29
x14,p18,59.82,388.61
x14,p37,44.96,377.67
x14,p4,97.79,173.69
x14,p25,99.4,408.91
x14,p9,92.55,143.01
x14,p10,182.29,374.0
x14,p38,247.25,372.66
x14,p40,153.28,186.92
x14,p7,74.85,310.99
x14,p36,283.33,372.89
x14,p30,107.74,175.47
x14,p14,77.71,282.3
x14,p31,84.82,181.14
x14,p27,175.82,275.74
x14,p15,149.97,428.6
x14,p6,83.73,205.86
x15,p13,165.23,403.42
x15,p17,86.9,286.92
x15,p26,151.78,171.2
x15,p33,150.71,230.51
x15,p9,76.0,117.32
x15,p28,75.77,89.97
x15,p12,120.12,137.53
x15,p3,122.68,332.35
x15,p16,114.86,251.0
x15,p34,114.96,128.81
x15,p27,83.6,289.96
x15,p11,52.89,68.81
x15,p31,59.15,191.09
x15,p25,59.36,403.98
x15,p10,125.18,230.11
x15,p2,55.33,346.24
x15,p8,69.26,214.91
x15,p36,141.6,454.36
x15,p29,127.43,203.67
x15,p30,125.35,171.18
x15,p23,121.65,470.02
x15,p35,138.18,451.21
x16,p31,99.39,206.22
x16,p1,32.66,240.09
x16,p32,216.75,415.15
x16,p8,43.15,125.31
x16,p2,187.37,233.14
x16,p39,209.1,369.31
x16,p27,74.5,464.09
x16,p3,202.27,355.06
x16,p7,134.47,423.66
x16,p34,105.07,153.21
x16,p22,37.11,263.17
x16,p37,111.08,441.41
x16,p6,83.42,219.68
x16,p15,307.97,509.25
x16,p26,28.08,241.22
x16,p25,130.93,360.07
x16,p4,105.08,178.71
x16,p23,60.42,369.63
x16,p12,107.6,161.77
x16,p9,86.36,138.97
x16,p35,49.93,420.97
x16,p13,86.9,338.02
x16,p17,139.59,345.53
x17,p30,65.7,156.3
x17,p5,126.8,327.91
x17,p39,135.28,376.89
x17,p38,228.34,276.82
x17,p4,100.5,154.68
x17,p2,182.79,276.29
x17,p23,125.34,380.14
x17,p17,212.64,240.66
x17,p18,197.94,310.27
x17,p7,177.08,382.58
x17,p12,102.41,143.0
x17,p6,149.33,278.35
x17,p11,53.83,93.29
x17,p3,140.08,320.56
x17,p8,124.88,156.48
x17,p33,139.46,235.61
x17,p19,170.18,424.2
x18,p26,63.81,271.09
x18,p17,44.29,241.69
x18,p36,175.22,493.32
x18,p25,162.22,390.19
x18,p10,155.86,363.07
x18,p6,67.59,291.01
x18,p29,75.51,208.91
x18,p12,107.42,140.79
x18,p4,122.49,145.1
x18,p31,140.76,272.25
x18,p27,128.36,347.61
x18,p5,288.57,358.98
x18,p34,99.46,153.19
x18,p2,76.55,213.11
x18,p3,181.48,336.3
x18,p9,65.78,102.81
x18,p32,39.89,377.62
x18,p15,159.89,376.0
x18,p22,106.33,250.9
x18,p37,31.53,438.29
x19,p21,236.99,273.07
x19,p12,125.61,155.7
